,simuli_name_1,Participant,avg_max,avg_min,avg_mean,avg_std,avg_kurtosis,avg_skewness,avg_auc,corr_max,corr_min,corr_mean,corr_std,corr_kurtosis,corr_skewness,corr_auc,diff_max,diff_min,diff_mean,diff_std,diff_kurtosis,diff_skewness,diff_auc
48,HP_1_L,5KB3V,3.905929565,3.211769104,3.564975603,0.163099931,-0.830079327,-0.027844797,734.4094397,3.652637916,3.527378916,3.595526106,0.027565193,-1.184236563,0.165836513,740.6837943,0.25329165,-0.315609812,-0.030550503,0.135534738,0.354157236,-0.19368131,-6.274354619
49,HP_1_H,5KB3V,4.035533905,3.501182556,3.825292522,0.160403033,-0.940688671,-0.431675609,218.0099335,3.640131638,3.516944049,3.613805916,0.018912353,9.797350277,-2.394234507,205.9775951,0.395402267,-0.015761493,0.211486605,0.14149068,-10.73803895,1.962558898,12.03233837
50,HP_2,5KB3V,4.266952515,3.303554535,3.603505312,0.166625672,2.24031198,1.030027122,908.0221748,3.860647671,3.376636021,3.541030766,0.111609615,-0.578610297,0.631806984,892.4185827,0.406304844,-0.073081486,0.062474546,0.055016057,2.818922277,0.398220138,15.60359213
51,HP_3_L,5KB3V,4.124675751,2.989387512,3.655089763,0.23344254,-0.401551939,-0.284393138,2953.472886,3.768569142,3.565480775,3.67663848,0.036044192,,,,0.356106608,-0.576093263,-0.021548717,0.197398348,,,
52,HP_3_H,5KB3V,4.133758545,3.476543427,3.799039613,0.183617174,-0.97856076,0.295886306,505.4582767,3.738687515,3.613602741,3.671424783,0.03841702,-1.352315689,0.221853625,488.2937068,0.39507103,-0.137059315,0.12761483,0.145200154,0.373754929,0.074032681,17.16456993
53,HP_4,5KB3V,3.640617371,3.378295898,3.532709035,0.065602586,-0.279445508,-0.544370889,699.4476604,3.530178149,3.449459751,3.504745916,0.018806821,-0.593114584,-0.556683229,693.9473112,0.110439221,-0.071163853,0.027963119,0.046795766,0.313669076,0.01231234,5.500349204
54,HP_5,5KB3V,4.009651184,3.480575562,3.815076979,0.104183586,0.372835745,-0.58686162,476.9832573,3.76373829,3.584519692,3.728282942,0.033124832,10.51295231,-2.945599395,466.0389755,0.245912894,-0.103944131,0.086794037,0.071058754,-10.14011656,2.358737776,10.94428178
55,HP_6,5KB3V,4.063186646,3.434440613,3.754442558,0.159768924,-0.770384188,0.07114619,664.535675,4.294418743,3.450809437,3.716688573,0.140185374,3.417525935,1.692506559,657.6687204,-0.231232098,-0.016368824,0.037753984,0.01958355,-4.187910123,-1.62136037,6.866954697
56,HP_7_H,5KB3V,3.863212585,3.411178589,3.66501668,0.116084041,-0.453386406,-0.619337087,549.7520123,3.814823027,3.379404922,3.573696971,0.104779198,-0.241718664,0.602326787,535.8960757,0.048389558,0.031773667,0.091319709,0.011304843,-0.211667742,-1.221663874,13.85593658
57,HP_7_L,5KB3V,3.627994537,3.148345947,3.329272376,0.143135146,-0.826100755,0.800340852,296.2147388,3.669304751,3.385402098,3.501090684,0.073894777,,,,-0.041310214,-0.23705615,-0.171818308,0.06924037,,,
58,HP_9,5KB3V,3.804401398,3.068317413,3.565190384,0.128079163,1.576515879,-0.85220113,3051.909472,3.605900463,3.524523277,3.558850512,0.022561473,-0.910054729,0.741406729,3046.36373,0.198500934,-0.456205864,0.006339872,0.10551769,2.486570609,-1.593607859,5.545741889
59,LN_1,5KB3V,4.034130096,3.348182678,3.778361359,0.148309051,0.867372259,-0.918695489,1602.170551,3.869861144,3.73071804,3.862927538,0.023187729,,,,0.164268952,-0.382535362,-0.084566179,0.125121322,,,
60,LN_2,5KB3V,4.131057739,3.165557861,3.605675436,0.225007738,-0.61333744,0.262076952,1745.049562,3.925228486,3.533801558,3.646795871,0.126601649,,,,0.205829254,-0.368243696,-0.041120435,0.098406089,,,
61,LN_3,5KB3V,3.987136841,3.097724915,3.624557811,0.19353536,0.760640045,-1.047049217,1047.573072,4.079451067,3.541151316,3.619251451,0.084905389,,,,-0.092314227,-0.443426401,0.00530636,0.108629971,,,
62,LN_4,5KB3V,3.942546844,3.319831848,3.74808697,0.140548503,0.715285742,-1.188124512,1060.776089,3.791856648,3.785212548,3.787014256,0.001863645,,,,0.150690196,-0.4653807,-0.038927287,0.138684858,,,
63,LN_5,5KB3V,3.771759033,2.985500336,3.460904205,0.189341249,-0.206220748,-0.731367073,709.3966732,3.61399149,3.44486582,3.530843021,0.030241319,0.366385435,-0.44598675,723.8172966,0.157767543,-0.459365484,-0.069938816,0.159099931,-0.572606184,-0.285380323,-14.42062335
64,LN_6,5KB3V,4.227050781,3.333759308,3.786746795,0.194723165,-0.606947471,-0.555435201,1094.474798,4.044017938,3.755473576,3.859227538,0.077505378,,,,0.183032843,-0.421714268,-0.072480743,0.117217787,,,
65,LN_7_N,5KB3V,4.042671204,3.187473297,3.792041543,0.126639902,7.632891658,-2.289127728,1918.612483,3.951706617,3.836488354,3.857318724,0.020460852,6.589822643,2.413536957,1951.806773,0.090964586,-0.649015057,-0.065277181,0.10617905,1.043069016,-4.702664685,-33.19429025
