sec,R_%,G_%,B_%,lux
872,70,20,30,6
873,70,20,40,7
874,70,20,50,8
875,70,20,60,10
876,70,20,70,13
877,70,20,80,16
878,70,20,90,20
879,70,20,100,23
880,70,30,0,6
881,70,30,10,6
882,70,30,20,7
883,70,30,30,7
884,70,30,40,8
885,70,30,50,9
886,70,30,60,11
887,70,30,70,13
888,70,30,80,17
889,70,30,90,21
890,70,30,100,24
891,70,40,0,8
892,70,40,10,8
893,70,40,20,8
894,70,40,30,8
895,70,40,40,9
896,70,40,50,10
897,70,40,60,12.5
898,70,40,70,15
899,70,40,80,18
900,70,40,90,22
901,70,40,100,25
902,70,50,0,10
903,70,50,10,10
904,70,50,20,10
905,70,50,30,11
906,70,50,40,11
907,70,50,50,12
908,70,50,60,14.5
909,70,50,70,17
910,70,50,80,20
911,70,50,90,25
912,70,50,100,28
913,70,60,0,13
914,70,60,10,13
915,70,60,20,14
916,70,60,30,14
917,70,60,40,15
918,70,60,50,16
919,70,60,60,18
920,70,60,65,19
921,70,60,70,20
922,70,60,75,22
,70,60,80,24
,70,60,85,26
,70,60,90,28
,70,60,95,31
923,70,60,100,31
,70,65,0,15
,70,65,60,20
,70,65,65,21
,70,65,70,22
,70,65,75,24
,70,65,80,26
,70,65,85,28
,70,65,90,30
,70,65,95,33
,70,65,100,33
924,70,70,0,18
925,70,70,10,19
926,70,70,20,19
927,70,70,30,19
928,70,70,40,20
929,70,70,50,21
930,70,70,60,22
931,70,70,65,24
932,70,70,70,25
933,70,70,75,26
,70,70,80,28
,70,70,85,31
,70,70,90,33
,70,70,95,36
934,70,70,100,36
,70,75,0,20
,70,75,60,25
,70,75,65,26
,70,75,70,28
,70,75,75,29
,70,75,80,31
,70,75,85,34
,70,75,90,35
,70,75,95,38
,70,75,100,38
935,70,80,0,23
936,70,80,10,23
937,70,80,20,24
938,70,80,30,24
939,70,80,40,25
940,70,80,50,26
941,70,80,60,28
942,70,80,65,29
943,70,80,70,31
944,70,80,75,32
,70,80,80,34
,70,80,85,37
,70,80,90,38
,70,80,95,41
945,70,80,100,41
,70,85,0,27
,70,85,60,32
,70,85,65,33
,70,85,70,34
,70,85,75,36
,70,85,80,38
,70,85,85,40
,70,85,90,42
,70,85,95,45
,70,85,100,45
946,70,90,0,32
947,70,90,10,32
948,70,90,20,33
949,70,90,30,33
950,70,90,40,34
951,70,90,50,34
952,70,90,60,36
953,70,90,65,37
954,70,90,70,39
955,70,90,75,40
,70,90,80,42
,70,90,85,44
,70,90,90,47
,70,90,95,49
956,70,90,100,49.5
,70,95,0,33
,70,95,60,38
,70,95,65,39
,70,95,70,41
,70,95,75,42
,70,95,80,44
,70,95,85,46.5
,70,95,90,48
,70,95,95,51
,70,95,100,51
957,70,100,0,34
958,70,100,10,34
959,70,100,20,34
960,70,100,30,34
961,70,100,40,35
962,70,100,50,36
963,70,100,60,37
964,70,100,65,39
965,70,100,70,41
966,70,100,75,42
,70,100,80,44
,70,100,85,47
,70,100,90,48
,70,100,95,51
967,70,100,100,51
968,80,0,0,7
969,80,0,10,7
970,80,0,20,7
971,80,0,30,8
972,80,0,40,9
973,80,0,50,10
974,80,0,60,11
975,80,0,65,13
976,80,0,70,14
977,80,0,75,15
,80,0,80,17
,80,0,85,19
,80,0,90,21
,80,0,95,24
978,80,0,100,24
979,80,10,0,7
980,80,10,10,7
981,80,10,20,7
982,80,10,30,8
983,80,10,40,9
984,80,10,50,10
985,80,10,60,12
986,80,10,70,14
987,80,10,80,17
988,80,10,90,22
989,80,10,100,25
990,80,20,0,8
991,80,20,10,8
992,80,20,20,8
993,80,20,30,8
994,80,20,40,9
995,80,20,50,10
996,80,20,60,12
997,80,20,70,14.5
998,80,20,80,18
999,80,20,90,22
1000,80,20,100,25
1001,80,30,0,8
1002,80,30,10,8.5
1003,80,30,20,9
1004,80,30,30,9
