,Participant,R2_Pupil_size,RMSE_Pupil_size,NRMSE_Pupil_size,Corr_Pupil_size,P_value_Pupil_size,R2_FER_Mean_Arousal,RMSE_FER_Mean_Arousal,NRMSE_FER_Mean_Arousal,Corr_FER_Mean_Arousal,P_value_FER_Mean_Arousal
37,gf5X,0.37707100478166533,0.3518260387082836,0.3435713924336722,0.614061075774768,1.3389140198193902e-185,0.02271020951505054,1.1148919214550466,1.0887339984092654,0.1506990693901279,1.5452942273580217e-10
38,gjGzb,0.3308872127358654,0.4733292083372576,0.4622238188652022,0.5752279658847138,7.265299157937276e-158,0.02312948951712801,0.6331279073642299,0.6182732736905409,0.1520838239824619,1.0446667752049533e-10
39,h2yD5h,0.4677760892987627,0.3729291789328302,0.3641794045588981,0.68394158325018,1.3094082766182732e-246,,,,,
40,hMHEK1,0.33804184081515465,0.4375253022219098,0.4272599545538001,0.581413657231368,4.921108898509786e-162,0.0027153376750338465,0.6254452327015404,0.6107708522064287,-0.05210890207089438,0.02765587746969758
41,kH4Dd,0.6000984381492543,0.18962718501678477,0.1879888620837251,0.7746602081875993,0.0,0.02371718423939062,1.785788151475717,1.7438894632321023,0.15400384488508828,6.034420815586847e-11
42,tMGNS,0.5579171158362335,0.5373527408704571,0.5247452123973972,0.7469384953503424,1.55599e-318,0.0008608148914165392,0.600374257278636,0.586288099402394,0.029339647090863896,0.21522543837104843
43,uksXB,0.48287378294828365,0.3986552202592656,0.3893018539170544,0.6948912022383673,2.721642214926883e-244,0.04356991989397119,1.3893726589366748,1.3567747878829979,0.2087340889600233,4.944053082637548e-19
44,urJvc,0.49133258062427976,0.30848691821876173,0.3012491071698977,0.7009511970346295,3.7093741358161746e-264,0.11845314771096238,2.4670195861681847,2.4091376451068474,0.3441702307157936,7.879763811765424e-51
45,wohkw,0.4733714572003852,0.2608162795226772,0.25469693105709934,0.6880199540713811,1.047682991676728e-250,0.0027363705452134734,0.8339329561405956,0.8143669751945708,0.052310329240157216,0.027059560978839117
46,yb3T2,0.3931613565685743,0.5305470405422203,0.5180991894172807,0.6270258021553612,9.546451352040461e-196,0.02112146077339694,0.7620051395024173,0.7441267502020625,0.14533224271783884,6.812353227598272e-10
